"avg","income_type","area_name"
8.87,"Hourly wage                                                                                                                  ","﻿Eastern and Southern Colorado"
13.93313253012048,"Hourly wage                                                                                                                  ","Baca County"
14.653863636363637,"Hourly wage                                                                                                                  ","Mineral County"
14.6575571820677,"Hourly wage                                                                                                                  ","Central  Colorado"
14.795353535353536,"Hourly wage                                                                                                                  ","Saguache County"
14.809818181818185,"Hourly wage                                                                                                                  ","Custer County"
14.85593220338983,"Hourly wage                                                                                                                  ","Costilla County"
14.987246376811592,"Hourly wage                                                                                                                  ","Bent County"
15.101111111111111,"Hourly wage                                                                                                                  ","Hinsdale County"
15.201789473684212,"Hourly wage                                                                                                                  ","Huerfano County"
15.23177777777778,"Hourly wage                                                                                                                  ","Conejos County"
15.251379310344827,"Hourly wage                                                                                                                  ","Dolores County"
15.285953488372092,"Hourly wage                                                                                                                  ","Rio Grande County"
15.366312500000001,"Hourly wage                                                                                                                  ","Kit Carson County"
15.468607594936712,"Hourly wage                                                                                                                  ","Prowers County"
15.557502593361013,"Hourly wage                                                                                                                  ","Eastern and Southern Colorado"
15.623684210526314,"Hourly wage                                                                                                                  ","Washington County"
15.642561576354678,"Hourly wage                                                                                                                  ","Yuma County"
15.757115384615382,"Hourly wage                                                                                                                  ","Crowley County"
15.781714285714283,"Hourly wage                                                                                                                  ","Kiowa County"
15.932653061224492,"Hourly wage                                                                                                                  ","Phillips County"
15.955333333333332,"Hourly wage                                                                                                                  ","San Juan County"
16.00770833333333,"Hourly wage                                                                                                                  ","Lincoln County"
16.014709480122324,"Hourly wage                                                                                                                  ","Otero County"
16.0835593220339,"Hourly wage                                                                                                                  ","Cheyenne County"
16.203701923076927,"Hourly wage                                                                                                                  ","Southcentral"
16.274736842105263,"Hourly wage                                                                                                                  ","Jackson County"
16.329123711340202,"Hourly wage                                                                                                                  ","Archuleta County"
16.36434523809524,"Hourly wage                                                                                                                  ","Teller County"
16.446892230576434,"Hourly wage                                                                                                                  ","Montezuma County"
16.63832283464571,"Hourly wage                                                                                                                  ","Western Colorado"
16.764551148225472,"Hourly wage                                                                                                                  ","Southeast"
16.7652,"Hourly wage                                                                                                                  ","Sedgwick County"
16.85010101010101,"Hourly wage                                                                                                                  ","Ouray County"
16.875419847328235,"Hourly wage                                                                                                                  ","Las Animas County"
16.90202898550725,"Hourly wage                                                                                                                  ","Logan County"
16.905641351282704,"Hourly wage                                                                                                                  ","Grand Junction MSA"
16.915482233502534,"Hourly wage                                                                                                                  ","Alamosa County"
16.927924528301887,"Hourly wage                                                                                                                  ","Grand County"
17.035462962962963,"Hourly wage                                                                                                                  ","Morgan County"
17.041349206349206,"Hourly wage                                                                                                                  ","Park County"
17.119163019693627,"Hourly wage                                                                                                                  ","Pueblo MSA"
17.146508379888274,"Hourly wage                                                                                                                  ","Delta County"
17.209720394736838,"Hourly wage                                                                                                                  ","Eastern"
17.26416309012876,"Hourly wage                                                                                                                  ","San Miguel County"
17.26769911504425,"Hourly wage                                                                                                                  ","Chaffee County"
17.480926966292134,"Hourly wage                                                                                                                  ","Gunnison County"
17.52949106659447,"Hourly wage                                                                                                                  ","North Central  Colorado"
17.615409090909093,"Hourly wage                                                                                                                  ","Gilpin County"
17.755046874999998,"Hourly wage                                                                                                                  ","Western"
17.87509929078009,"Hourly wage                                                                                                                  ","Greeley MSA"
17.994621887137292,"Hourly wage                                                                                                                  ","Colorado"
18.00451579492493,"Hourly wage                                                                                                                  ","Colorado Springs MSA"
18.063575757575762,"Hourly wage                                                                                                                  ","Upper Arkansas"
18.268472727272737,"Hourly wage                                                                                                                  ","Montrose County"
18.27101694915254,"Hourly wage                                                                                                                  ","Lake County"
18.326697247706438,"Hourly wage                                                                                                                  ","Southwest"
18.35097959183673,"Hourly wage                                                                                                                  ","Moffat County"
18.358930530164553,"Hourly wage                                                                                                                  ","Southwest Colorado"
18.35959854014599,"Hourly wage                                                                                                                  ","Mesa"
18.410140268848618,"Hourly wage                                                                                                                  ","Fort Collins-Loveland MSA"
18.6764279766861,"Hourly wage                                                                                                                  ","Mesa County"
18.83719298245614,"Hourly wage                                                                                                                  ","Fremont County"
18.89616201859231,"Hourly wage                                                                                                                  ","Pueblo"
18.964857142857134,"Hourly wage                                                                                                                  ","La Plata County"
19.082804942166135,"Hourly wage                                                                                                                  ","Denver - Aurora MSA"
19.187416666666667,"Hourly wage                                                                                                                  ","Pueblo County"
19.200353982300886,"Hourly wage                                                                                                                  ","Summit County"
19.379336890243888,"Hourly wage                                                                                                                  ","Pikes Peak"
19.553949579831933,"Hourly wage                                                                                                                  ","Clear Creek County"
19.601630824372773,"Hourly wage                                                                                                                  ","Northwest"
19.7006329113924,"Hourly wage                                                                                                                  ","Weld"
19.778464730290455,"Hourly wage                                                                                                                  ","Northwest Colorado"
19.794824399260623,"Hourly wage                                                                                                                  ","Routt County"
19.795555555555552,"Hourly wage                                                                                                                  ","Elbert County"
19.81488095238095,"Hourly wage                                                                                                                  ","Rio Blanco County"
19.940385483264382,"Hourly wage                                                                                                                  ","Boulder-Longmont MSA"
20.08906680805939,"Hourly wage                                                                                                                  ","El Paso County"
20.12028697571744,"Hourly wage                                                                                                                  ","Weld County"
20.262949061662194,"Hourly wage                                                                                                                  ","Eagle County"
20.386895017793577,"Hourly wage                                                                                                                  ","Larimer"
20.41326441784548,"Hourly wage                                                                                                                  ","Rural Resort"
20.50094409937888,"Hourly wage                                                                                                                  ","Garfield County"
20.565325670498087,"Hourly wage                                                                                                                  ","Pitkin County"
20.84186377708977,"Hourly wage                                                                                                                  ","Larimer County"
21.073858885017433,"Hourly wage                                                                                                                  ","Adams"
21.490520471894495,"Hourly wage                                                                                                                  ","Denver"
21.550816451810928,"Hourly wage                                                                                                                  ","Adams County"
21.69201407211964,"Hourly wage                                                                                                                  ","Boulder"
21.79469931271477,"Hourly wage                                                                                                                  ","Tri-County"
21.93554711246201,"Hourly wage                                                                                                                  ","Arapahoe-Douglas"
22.201653846153825,"Hourly wage                                                                                                                  ","Denver County"
22.284351464435122,"Hourly wage                                                                                                                  ","Jefferson County"
22.422683982684003,"Hourly wage                                                                                                                  ","Boulder County"
22.703024417314108,"Hourly wage                                                                                                                  ","Arapahoe County"
23.23761136712748,"Hourly wage                                                                                                                  ","Douglas County"
24.306424050632913,"Hourly wage                                                                                                                  ","Broomfield"
24.453027397260282,"Hourly wage                                                                                                                  ","Broomfield County"
25.29474747474748,"Hourly wage                                                                                                                  ","Undefined County"
29131.102643678158,"Annual wage or salary                                                                                                        ","Baca County"
30480.938636363633,"Annual wage or salary                                                                                                        ","Mineral County"
